2023-09-06 08:07:55.668  0xc90  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p3764@zvar-imx-7 sent command: advertise AcurosXB.FieldVolumeDose.10.0.28.9901x64 AvailableAddressSpaceInMB=8388608 ExpectedProcessorUsage='ProcessorCount' ExpectedMemoryUsageInMB='15000'
2023-09-06 08:07:55.668  0x2260  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5720@zvar-imx-4 sent command: advertise PBC.FieldVolumeDose.11.0.32.88619 AvailableAddressSpaceInMB=4096 ExpectedProcessorUsage='0.80' ExpectedMemoryUsageInMB='30 + NumberOfSlices * 0.62'
2023-09-06 08:07:55.668  0x488  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5660@zvar-imx-8 sent command: advertise NUPO.Optimize.13.6.23.82217x64 AvailableAddressSpaceInMB=8388608 ExpectedProcessorUsage='ProcessorCount' ExpectedMemoryUsageInMB='200'
2023-09-06 08:07:55.668  0xf04  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p8948@zvar-imx-2 sent command: advertise NUPO.Optimize.13.6.23.82217x64 AvailableAddressSpaceInMB=8388608 ExpectedProcessorUsage='ProcessorCount' ExpectedMemoryUsageInMB='200'
2023-09-06 08:07:55.668  0x1104  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p1716@zvar-imx-9 sent command: advertise GEOS.GeometricalOptimization.13.6.23.82217x64 AvailableAddressSpaceInMB=8388608 ExpectedProcessorUsage='1' ExpectedMemoryUsageInMB='200'
2023-09-06 08:07:55.668  0xc90  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p3764@zvar-imx-7 sent command: advertise AcurosXB.FieldVolumeDose.11.0.31.62671x64 AvailableAddressSpaceInMB=8388608 ExpectedProcessorUsage='ProcessorCount' ExpectedMemoryUsageInMB='15000'
2023-09-06 08:07:55.668  0x2260  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5720@zvar-imx-4 sent command: advertise PBC.FieldVolumeDose.8.1.17.3475 AvailableAddressSpaceInMB=2048
2023-09-06 08:07:55.668  0x488  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5660@zvar-imx-8 sent command: advertise PBC.Compensator.10.0.28.9833 AvailableAddressSpaceInMB=4096 ExpectedProcessorUsage='1' ExpectedMemoryUsageInMB='30 + NumberOfSlices * 0.62'
2023-09-06 08:07:55.668  0x1104  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p1716@zvar-imx-9 sent command: advertise GEOS.GeometricalOptimization.15.1.61.110691x64 AvailableAddressSpaceInMB=8388608 ExpectedProcessorUsage='1' ExpectedMemoryUsageInMB='200'
2023-09-06 08:07:55.668  0xf04  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p8948@zvar-imx-2 sent command: advertise PBC.Compensator.10.0.28.9833 AvailableAddressSpaceInMB=4096 ExpectedProcessorUsage='1' ExpectedMemoryUsageInMB='30 + NumberOfSlices * 0.62'
